"","code","weight","model","AIC","topt","rmax","breadth"
"104","TLCRP021",100.9,"weibull",1482.81785266256,32.5919217891399,125.76579602969,12.839
"105","TLCRP022",104.4,"gaussian",1230.70995932962,35.6340885942471,128.767159386381,9.931
"106","TLCRP022",104.4,"joehnk",1190.23194904303,33.8540885942471,228.422828422422,2.71899999999999
"107","TLCRP022",104.4,"modifiedgaussian",1180.38321095932,32.8370885942471,416.909503113621,1.857
"108","TLCRP022",104.4,"quadratic",1226.94386452552,35.6340885942471,166.021793809306,3.234
"109","TLCRP022",104.4,"sharpeschoolhigh",1209.53975237227,33.4780885942471,184.131940976989,3.919
"110","TLCRP022",104.4,"spain",1209.50859840058,33.5830885942471,182.84278546979,4.383
"111","TLCRP022",104.4,"thomas1",1231.14361371684,33.8570885942471,136.099286647337,8.556
"112","TLCRP022",104.4,"weibull",1231.21098861789,35.6340885942471,136.693806924406,8.178
"113","TLCRP023",77.1,"gaussian",993.244580496935,27.1645766549718,51.6244225380811,14.381
"114","TLCRP023",77.1,"joehnk",980.074092584459,29.4385766549718,67.2949589161395,5.389
"115","TLCRP023",77.1,"modifiedgaussian",984.915046283325,28.0065766549718,139.356435178778,3.63
"116","TLCRP023",77.1,"quadratic",993.824873566185,27.5615766549718,50.6318413869848,15.32
"117","TLCRP023",77.1,"sharpeschoolhigh",981.210821570412,29.5085766549718,63.5034393586582,7.371
"118","TLCRP023",77.1,"spain",981.246549275629,29.6265766549718,62.7121933158253,7.805
"119","TLCRP023",77.1,"thomas1",991.755906623536,26.6835766549718,55.6475725819679,12.04
"120","TLCRP023",77.1,"weibull",993.47190114162,26.6475766549718,54.5918948672977,12.822
"121","TLCRP024",55.1,"gaussian",1216.35618967396,31.722628207525,87.5605702124757,4.965
"122","TLCRP024",55.1,"joehnk",1229.50064442068,33.911628207525,73.2348785896982,6.507
"123","TLCRP024",55.1,"modifiedgaussian",1194.90776901059,31.721628207525,142.560792358341,1.683
"124","TLCRP024",55.1,"quadratic",1257.9820077915,34.441628207525,52.820579944533,13.213
"125","TLCRP024",55.1,"sharpeschoolhigh",1208.12185589038,32.573628207525,92.6625679045244,4.15300000000001
"126","TLCRP024",55.1,"spain",1222.92586639482,33.500628207525,74.7353700138136,6.443
"127","TLCRP024",55.1,"thomas1",1242.6550985241,31.669628207525,64.5947696366097,9.328
"128","TLCRP024",55.1,"weibull",1211.36751626821,32.462628207525,88.3463779255862,4.846
"129","TLCRP025",56.4,"gaussian",1353.04252777059,34.4630104409942,91.6898608467849,6.239
"130","TLCRP025",56.4,"joehnk",1354.31158508848,36.5020104409942,88.6352216618284,6.029
"131","TLCRP025",56.4,"modifiedgaussian",1344.85928696017,34.7660104409942,114.347317868513,2.01600000000001
"132","TLCRP025",56.4,"quadratic",1388.03894651342,40.4400104409942,83.8128153777233,4.821
"133","TLCRP025",56.4,"sharpeschoolhigh",1347.83044305403,35.0850104409942,94.9123020475809,5.348
"134","TLCRP025",56.4,"spain",1355.49958173302,36.2120104409942,87.5736673128945,6.485
"135","TLCRP025",56.4,"thomas1",1383.58803483777,36.7080104409942,69.9237725798586,10.696
"136","TLCRP025",56.4,"weibull",1350.34117036775,35.2450104409942,92.434749154678,5.962
